0,0.069
1957,0.11
3400,1
4842,0.56
6283,0.145
7726,1
9167,0.018
10611,0.023
12054,0.05
13494,0.08
14939,1
16381,0.342
17824,1
19264,0.2
20705,0.11
22148,0.2
23588,1
25032,0.2
26475,0.25
27915,0.58
29356,1
30797,0.1
32239,0.023
33682,0.021
35122,0.018
36566,0.021
37433,0.02
37442,0.021
37451,0.02
37465,0.018
37475,0.02
37508,0.019
37517,0.018
37526,0.019
37536,0.018
37564,0.018
37574,0.018
37588,0.05
37597,0.11
37607,0.03
37621,0.026
37630,0.018
37644,0.026
37659,0.17
37673,0.171
37711,0.11
37739,0.05
37758,0.019
37787,0.03
37806,0.11
37815,0.2
37830,0.684
37840,1
37912,0.342
37936,0.25
37950,0.2
37969,0.145
37979,0.117
37988,0.12
38002,0.145
38012,0.15
38022,0.165
38329,0.018
38339,0.019
38426,0.018
38576,0.019
38591,0.018
38620,0.02
38629,0.085
38639,0.019
38659,0.018
38669,0.085
38678,0.171
38713,0.018
38723,0.145
38767,0.05
38786,0.145
38831,0.2
38841,0.25
38861,0.35
38921,1
38970,0.2
38980,0.018
38995,0.019
39034,0.11
39044,0.05
39064,0.018
39099,0.11
39244,0.29
39269,0.684
39279,1
39289,1.595
39314,0.725
39354,0.2
39409,0.171
39494,0.2
39553,0.145
39563,0.171
39703,0.145
39888,0.1
39923,0.11
39938,0.145
39953,0.11
39999,0.145
40009,0.11
40024,0.12
40044,0.05
40084,0.019
40190,0.018
40266,0.019
40277,0.018
40292,0.019
40586,0.018
40637,0.019
40825,0.018
40860,0.019
40967,0.018
41022,0.2
41104,0.181
41115,0.171
41171,0.019
41182,0.018
41192,0.019
41207,0.018
41212,0.054
41222,0.17
41253,0.145
41294,0.725
41452,0.145
41468,0.181
41478,0.684
41550,0.5
41561,0.725
41591,0.2
41597,0.725
41607,1.61
41623,2
41648,0.342
41889,2
41945,0.29
42241,1.61
42251,0.5
42376,2
42422,0.5
42490,0.2
42500,0.181
42505,0.145
42526,0.046
42558,0.05
42595,0.046
42605,0.05
42683,0.046
42715,0.05
42725,0.11
42730,0.046
42741,0.018
42746,0.019
42772,0.018
42876,0.02
42887,0.018
42892,0.046
42903,0.018
42908,0.046
42924,0.018
43040,0.02
43050,0.019
43134,0.046
43166,0.11
43203,0.145
43213,0.11
43286,0.145
43292,0.046
43549,0.145
43591,0.046
43864,0.145
43891,0.171
43901,0.2
43917,1.61
43923,0.2
43944,0.171
43950,1.61
43966,0.342
44015,1.61
44020,0.145
44058,0.05
44086,0.145
44119,0.15
44124,0.05
44146,0.046
44151,0.018
44179,0.046
44206,0.02
44322,0.018
44366,0.046
44377,0.02
44388,0.018
44421,0.02
44432,0.018
44505,0.019
44527,0.018
45970,0.019
47410,0.018
48853,0.019
50296,0.018
51569,0.019
51575,0.018
51581,0.019
51587,0.018
51593,0.019
52108,0.018
52114,0.019
52120,0.018
52126,0.019
52138,0.018
52144,0.019
52178,0.02
52187,0.046
52193,0.02
52199,0.018
52205,0.025
52211,0.018
52217,0.046
52223,0.085
52229,0.046
52235,0.018
52241,0.046
52247,0.018
52286,0.046
52292,0.05
52301,0.054
52307,0.11
52313,0.17
52320,1.61
52326,0.1
52338,0.2
52344,0.684
52350,1.61
52359,0.046
52365,0.018
52371,0.046
52377,0.018
52383,0.046
52389,0.019
52417,0.046
52423,0.018
52472,0.02
52478,0.018
52508,0.019
52515,0.018
53957,0.019
55399,0.018
56841,0.019
58281,0.018
59722,0.018
61162,0.018
62603,0.046
64044,0.145
65304,0.5
65329,0.342
65337,0.2
65353,0.05
65373,0.046
65381,0.018
65434,0.019
65534,0.018
65550,0.046
65558,0.145
65595,0.046
65707,0.1
65788,0.171
65816,2
65828,0.046
65840,0.138
65901,0.2
65946,0.1
65954,0.2
65990,2
66015,0.2
66031,2
66039,0.2
66052,0.342
66077,2
66097,0.2
66221,0.046
66234,2
66246,0.018
66267,0.046
66285,0.018
66310,0.046
66318,0.018
66327,0.046
66347,0.019
66356,0.018
66368,0.019
66380,0.018
66389,0.046
66414,0.018
66423,0.046
66460,0.018
66510,0.28
66543,2
66577,0.018
66585,0.054
66593,0.145
66605,0.046
66630,0.018
66680,0.019
66689,0.145
66722,0.181
66747,2
66768,0.725
66777,0.018
66876,0.019
66905,0.018
66913,0.019
66959,0.018
66984,0.019
66993,0.018
67014,0.019
67043,0.018
67056,0.046
67086,0.045
67158,0.018
67189,0.046
67214,0.018
67223,0.046
67265,0.02
67295,0.046
67303,0.018
67312,0.046
67321,0.018
67342,0.046
67355,0.018
67363,0.046
67406,0.018
67432,0.019
67459,0.018
67468,0.046
67477,0.018
67583,0.046
67649,0.018
67658,0.046
67684,0.02
67697,0.018
67710,0.02
67728,0.018
67736,0.02
67745,0.018
67771,0.165
67780,2
67793,0.2
67802,2
67811,0.684
67828,0.5
67889,0.58
67902,2
67954,0.2
67967,0.14
67994,0.11
68007,0.018
68037,0.02
68050,0.018
68130,0.0191
68139,0.018
68147,0.0191
68169,0.11
68186,0.05
68199,0.145
68217,0.018
68230,0.0191
68265,0.11
68287,0.05
68304,0.018
68326,0.045
68404,0.2
68417,0.02
68475,0.018
68488,0.145
68510,0.018
68519,2
68572,0.018
68581,2
68643,0.342
68673,0.145
68682,0.13
68731,0.02
68749,0.018
68762,0.02
68771,0.018
68838,0.02
68883,0.018
68896,0.02
68932,0.018
68946,0.02
68977,0.018
68991,0.145
69032,0.018
69041,0.02
69204,0.018
69214,0.02
69231,0.018
69249,0.02
69272,0.11
69281,0.02
69318,0.018
69327,0.11
69368,0.02
69377,0.018
69386,0.02
69395,0.018
69548,0.02
69561,0.018
69911,0.02
69930,0.018
69967,0.02
69985,0.018
70013,0.02
70022,0.018
70059,0.018
70115,0.018
70133,0.019
70147,0.018
70174,0.019
70215,0.018
70992,0.019
71002,0.018
71030,0.019
71040,0.018
71284,0.019
71293,0.018
71303,0.019
71313,0.018
71322,0.019
71332,0.018
71341,0.019
71371,0.018
71385,0.019
71395,0.018
71409,0.019
71419,0.018
71429,0.019
71453,0.018
71463,0.019
71473,0.018
71759,0.019
71769,0.018
71779,0.019
71789,0.018
71799,0.019
71808,0.018
72679,0.019
72689,0.018
72722,0.019
72741,0.018
72751,0.019
72765,0.018
72800,0.019
72809,0.018
73630,0.019
73654,0.018
73664,0.019
73673,0.018
73717,0.019
73736,0.018
73746,0.019
73756,0.018
73780,0.019
73795,0.018
73824,0.019
73834,0.018
73859,0.019
73869,0.018
73878,0.019
73888,0.018
73898,0.019
73913,0.018
73928,0.054
73938,0.018
74260,0.019
74265,0.018
74281,0.046
74291,0.019
74301,0.018
74326,0.019
74362,0.018
74397,0.019
74432,0.018
74458,0.019
74468,0.018
74473,0.019
74488,0.018
74570,0.02
74580,0.019
74595,0.018
